lesson;cs;cs
16;A;pA
0;B;pB
7;C;pC
0;D;pD
18;E;pE
4;F;pF
6;G;pG
4;H;pH
17;I;pI
1;J;pJ
9;BA;pBA
7;BB;pBB
8;BC;pBC
19;BD;pBD
5;BE;pBE
1;BF;pBF
17;BG;pBG
4;BH;pBH
13;BI;pBI
4;BJ;pBJ
12;CA;pCA
4;CB;pCB
14;CC;pCC
18;CD;pCD
9;CE;pCE
15;CF;pCF
4;CG;pCG
14;CH;pCH
9;CI;pCI
14;CJ;pCJ
11;DA;pDA
10;DB;pDB
3;DC;pDC
10;DD;pDD
2;DE;pDE
10;DF;pDF
18;DG;pDG
9;DH;pDH
16;DI;pDI
1;DJ;pDJ
19;EA;pEA
10;EB;pEB
19;EC;pEC
12;ED;pED
1;EE;pEE
15;EF;pEF
17;EG;pEG
15;EH;pEH
5;EI;pEI
5;EJ;pEJ
9;FA;pFA
8;FB;pFB
7;FC;pFC
3;FD;pFD
11;FE;pFE
5;FF;pFF
8;FG;pFG
11;FH;pFH
0;FI;pFI
10;FJ;pFJ
2;GA;pGA
10;GB;pGB
8;GC;pGC
14;GD;pGD
1;GE;pGE
6;GF;pGF
0;GG;pGG
6;GH;pGH
3;GI;pGI
13;GJ;pGJ
14;HA;pHA
4;HB;pHB
2;HC;pHC
16;HD;pHD
2;HE;pHE
4;HF;pHF
8;HG;pHG
17;HH;pHH
4;HI;pHI
13;HJ;pHJ
19;IA;pIA
16;IB;pIB
16;IC;pIC
6;ID;pID
11;IE;pIE
11;IF;pIF
5;IG;pIG
2;IH;pIH
1;II;pII
4;IJ;pIJ
1;JA;pJA
5;JB;pJB
5;JC;pJC
12;JD;pJD
3;JE;pJE
12;JF;pJF
18;JG;pJG
18;JH;pJH
2;JI;pJI
0;JJ;pJJ
0;BAA;pBAA
6;BAB;pBAB
1;BAC;pBAC
5;BAD;pBAD
2;BAE;pBAE
18;BAF;pBAF
19;BAG;pBAG
8;BAH;pBAH
5;BAI;pBAI
16;BAJ;pBAJ
10;BBA;pBBA
15;BBB;pBBB
9;BBC;pBBC
14;BBD;pBBD
2;BBE;pBBE
5;BBF;pBBF
2;BBG;pBBG
14;BBH;pBBH
7;BBI;pBBI
14;BBJ;pBBJ
18;BCA;pBCA
18;BCB;pBCB
3;BCC;pBCC
19;BCD;pBCD
14;BCE;pBCE
11;BCF;pBCF
5;BCG;pBCG
17;BCH;pBCH
14;BCI;pBCI
8;BCJ;pBCJ
7;BDA;pBDA
6;BDB;pBDB
12;BDC;pBDC
6;BDD;pBDD
9;BDE;pBDE
1;BDF;pBDF
15;BDG;pBDG
6;BDH;pBDH
14;BDI;pBDI
19;BDJ;pBDJ
8;BEA;pBEA
2;BEB;pBEB
14;BEC;pBEC
18;BED;pBED
13;BEE;pBEE
3;BEF;pBEF
12;BEG;pBEG
5;BEH;pBEH
10;BEI;pBEI
18;BEJ;pBEJ
6;BFA;pBFA
4;BFB;pBFB
5;BFC;pBFC
5;BFD;pBFD
0;BFE;pBFE
9;BFF;pBFF
13;BFG;pBFG
5;BFH;pBFH
9;BFI;pBFI
3;BFJ;pBFJ
1;BGA;pBGA
14;BGB;pBGB
12;BGC;pBGC
18;BGD;pBGD
17;BGE;pBGE
18;BGF;pBGF
13;BGG;pBGG
15;BGH;pBGH
5;BGI;pBGI
2;BGJ;pBGJ
2;BHA;pBHA
14;BHB;pBHB
13;BHC;pBHC
5;BHD;pBHD
0;BHE;pBHE
5;BHF;pBHF
5;BHG;pBHG
18;BHH;pBHH
10;BHI;pBHI
3;BHJ;pBHJ
6;BIA;pBIA
1;BIB;pBIB
2;BIC;pBIC
4;BID;pBID
8;BIE;pBIE
17;BIF;pBIF
17;BIG;pBIG
10;BIH;pBIH
18;BII;pBII
8;BIJ;pBIJ
4;BJA;pBJA
1;BJB;pBJB
19;BJC;pBJC
14;BJD;pBJD
12;BJE;pBJE
7;BJF;pBJF
6;BJG;pBJG
14;BJH;pBJH
10;BJI;pBJI
0;BJJ;pBJJ
12;CAA;pCAA
19;CAB;pCAB
7;CAC;pCAC
16;CAD;pCAD
12;CAE;pCAE
14;CAF;pCAF
1;CAG;pCAG
16;CAH;pCAH
8;CAI;pCAI
13;CAJ;pCAJ
3;CBA;pCBA
1;CBB;pCBB
2;CBC;pCBC
7;CBD;pCBD
6;CBE;pCBE
15;CBF;pCBF
5;CBG;pCBG
13;CBH;pCBH
5;CBI;pCBI
3;CBJ;pCBJ
9;CCA;pCCA
17;CCB;pCCB
5;CCC;pCCC
7;CCD;pCCD
12;CCE;pCCE
12;CCF;pCCF
4;CCG;pCCG
18;CCH;pCCH
11;CCI;pCCI
14;CCJ;pCCJ
19;CDA;pCDA
18;CDB;pCDB
8;CDC;pCDC
12;CDD;pCDD
2;CDE;pCDE
5;CDF;pCDF
9;CDG;pCDG
13;CDH;pCDH
13;CDI;pCDI
8;CDJ;pCDJ
5;CEA;pCEA
2;CEB;pCEB
8;CEC;pCEC
14;CED;pCED
6;CEE;pCEE
18;CEF;pCEF
10;CEG;pCEG
0;CEH;pCEH
15;CEI;pCEI
10;CEJ;pCEJ
14;CFA;pCFA
19;CFB;pCFB
14;CFC;pCFC
8;CFD;pCFD
17;CFE;pCFE
2;CFF;pCFF
0;CFG;pCFG
10;CFH;pCFH
16;CFI;pCFI
10;CFJ;pCFJ
12;CGA;pCGA
9;CGB;pCGB
5;CGC;pCGC
7;CGD;pCGD
10;CGE;pCGE
19;CGF;pCGF
19;CGG;pCGG
1;CGH;pCGH
1;CGI;pCGI
2;CGJ;pCGJ
19;CHA;pCHA
0;CHB;pCHB
6;CHC;pCHC
10;CHD;pCHD
12;CHE;pCHE
7;CHF;pCHF
18;CHG;pCHG
5;CHH;pCHH
15;CHI;pCHI
19;CHJ;pCHJ
18;CIA;pCIA
8;CIB;pCIB
0;CIC;pCIC
6;CID;pCID
13;CIE;pCIE
4;CIF;pCIF
12;CIG;pCIG
5;CIH;pCIH
8;CII;pCII
15;CIJ;pCIJ
15;CJA;pCJA
3;CJB;pCJB
5;CJC;pCJC
5;CJD;pCJD
11;CJE;pCJE
3;CJF;pCJF
4;CJG;pCJG
14;CJH;pCJH
9;CJI;pCJI
1;CJJ;pCJJ
18;DAA;pDAA
1;DAB;pDAB
4;DAC;pDAC
4;DAD;pDAD
6;DAE;pDAE
5;DAF;pDAF
4;DAG;pDAG
2;DAH;pDAH
18;DAI;pDAI
3;DAJ;pDAJ
17;DBA;pDBA
8;DBB;pDBB
17;DBC;pDBC
11;DBD;pDBD
8;DBE;pDBE
8;DBF;pDBF
15;DBG;pDBG
7;DBH;pDBH
13;DBI;pDBI
13;DBJ;pDBJ
2;DCA;pDCA
10;DCB;pDCB
10;DCC;pDCC
13;DCD;pDCD
14;DCE;pDCE
4;DCF;pDCF
2;DCG;pDCG
9;DCH;pDCH
19;DCI;pDCI
3;DCJ;pDCJ
13;DDA;pDDA
8;DDB;pDDB
1;DDC;pDDC
1;DDD;pDDD
7;DDE;pDDE
0;DDF;pDDF
17;DDG;pDDG
11;DDH;pDDH
12;DDI;pDDI
14;DDJ;pDDJ
6;DEA;pDEA
1;DEB;pDEB
11;DEC;pDEC
12;DED;pDED
6;DEE;pDEE
3;DEF;pDEF
6;DEG;pDEG
10;DEH;pDEH
6;DEI;pDEI
19;DEJ;pDEJ
12;DFA;pDFA
12;DFB;pDFB
8;DFC;pDFC
0;DFD;pDFD
8;DFE;pDFE
5;DFF;pDFF
7;DFG;pDFG
7;DFH;pDFH
1;DFI;pDFI
9;DFJ;pDFJ
12;DGA;pDGA
8;DGB;pDGB
11;DGC;pDGC
18;DGD;pDGD
3;DGE;pDGE
7;DGF;pDGF
13;DGG;pDGG
13;DGH;pDGH
19;DGI;pDGI
15;DGJ;pDGJ
7;DHA;pDHA
3;DHB;pDHB
2;DHC;pDHC
7;DHD;pDHD
6;DHE;pDHE
6;DHF;pDHF
0;DHG;pDHG
7;DHH;pDHH
9;DHI;pDHI
3;DHJ;pDHJ
8;DIA;pDIA
1;DIB;pDIB
2;DIC;pDIC
12;DID;pDID
4;DIE;pDIE
1;DIF;pDIF
14;DIG;pDIG
10;DIH;pDIH
12;DII;pDII
10;DIJ;pDIJ
9;DJA;pDJA
19;DJB;pDJB
17;DJC;pDJC
2;DJD;pDJD
6;DJE;pDJE
8;DJF;pDJF
18;DJG;pDJG
19;DJH;pDJH
17;DJI;pDJI
18;DJJ;pDJJ
4;EAA;pEAA
2;EAB;pEAB
17;EAC;pEAC
2;EAD;pEAD
19;EAE;pEAE
13;EAF;pEAF
13;EAG;pEAG
11;EAH;pEAH
16;EAI;pEAI
4;EAJ;pEAJ
14;EBA;pEBA
7;EBB;pEBB
15;EBC;pEBC
17;EBD;pEBD
19;EBE;pEBE
17;EBF;pEBF
4;EBG;pEBG
5;EBH;pEBH
3;EBI;pEBI
9;EBJ;pEBJ
14;ECA;pECA
16;ECB;pECB
6;ECC;pECC
19;ECD;pECD
16;ECE;pECE
8;ECF;pECF
10;ECG;pECG
17;ECH;pECH
12;ECI;pECI
13;ECJ;pECJ
16;EDA;pEDA
16;EDB;pEDB
8;EDC;pEDC
0;EDD;pEDD
19;EDE;pEDE
10;EDF;pEDF
7;EDG;pEDG
14;EDH;pEDH
5;EDI;pEDI
18;EDJ;pEDJ
12;EEA;pEEA
6;EEB;pEEB
4;EEC;pEEC
19;EED;pEED
9;EEE;pEEE
19;EEF;pEEF
14;EEG;pEEG
1;EEH;pEEH
6;EEI;pEEI
15;EEJ;pEEJ
12;EFA;pEFA
16;EFB;pEFB
7;EFC;pEFC
11;EFD;pEFD
15;EFE;pEFE
14;EFF;pEFF
12;EFG;pEFG
4;EFH;pEFH
8;EFI;pEFI
1;EFJ;pEFJ
11;EGA;pEGA
17;EGB;pEGB
2;EGC;pEGC
18;EGD;pEGD
7;EGE;pEGE
17;EGF;pEGF
9;EGG;pEGG
4;EGH;pEGH
15;EGI;pEGI
11;EGJ;pEGJ
2;EHA;pEHA
7;EHB;pEHB
17;EHC;pEHC
1;EHD;pEHD
4;EHE;pEHE
14;EHF;pEHF
16;EHG;pEHG
11;EHH;pEHH
4;EHI;pEHI
14;EHJ;pEHJ
4;EIA;pEIA
16;EIB;pEIB
0;EIC;pEIC
13;EID;pEID
12;EIE;pEIE
5;EIF;pEIF
13;EIG;pEIG
8;EIH;pEIH
0;EII;pEII
16;EIJ;pEIJ
8;EJA;pEJA
5;EJB;pEJB
5;EJC;pEJC
18;EJD;pEJD
6;EJE;pEJE
8;EJF;pEJF
10;EJG;pEJG
9;EJH;pEJH
10;EJI;pEJI
6;EJJ;pEJJ
8;FAA;pFAA
13;FAB;pFAB
11;FAC;pFAC
18;FAD;pFAD
7;FAE;pFAE
17;FAF;pFAF
5;FAG;pFAG
12;FAH;pFAH
14;FAI;pFAI
4;FAJ;pFAJ
9;FBA;pFBA
7;FBB;pFBB
17;FBC;pFBC
9;FBD;pFBD
12;FBE;pFBE
8;FBF;pFBF
18;FBG;pFBG
7;FBH;pFBH
7;FBI;pFBI
19;FBJ;pFBJ
2;FCA;pFCA
5;FCB;pFCB
9;FCC;pFCC
8;FCD;pFCD
17;FCE;pFCE
9;FCF;pFCF
13;FCG;pFCG
14;FCH;pFCH
11;FCI;pFCI
4;FCJ;pFCJ
11;FDA;pFDA
2;FDB;pFDB
4;FDC;pFDC
2;FDD;pFDD
8;FDE;pFDE
12;FDF;pFDF
10;FDG;pFDG
9;FDH;pFDH
0;FDI;pFDI
5;FDJ;pFDJ
14;FEA;pFEA
7;FEB;pFEB
12;FEC;pFEC
5;FED;pFED
5;FEE;pFEE
0;FEF;pFEF
0;FEG;pFEG
3;FEH;pFEH
7;FEI;pFEI
1;FEJ;pFEJ
6;FFA;pFFA
9;FFB;pFFB
13;FFC;pFFC
15;FFD;pFFD
12;FFE;pFFE
2;FFF;pFFF
15;FFG;pFFG
14;FFH;pFFH
10;FFI;pFFI
9;FFJ;pFFJ
15;FGA;pFGA
1;FGB;pFGB
0;FGC;pFGC
8;FGD;pFGD
17;FGE;pFGE
2;FGF;pFGF
10;FGG;pFGG
8;FGH;pFGH
15;FGI;pFGI
3;FGJ;pFGJ
17;FHA;pFHA
2;FHB;pFHB
0;FHC;pFHC
16;FHD;pFHD
17;FHE;pFHE
3;FHF;pFHF
0;FHG;pFHG
13;FHH;pFHH
3;FHI;pFHI
0;FHJ;pFHJ
13;FIA;pFIA
3;FIB;pFIB
6;FIC;pFIC
1;FID;pFID
5;FIE;pFIE
18;FIF;pFIF
0;FIG;pFIG
0;FIH;pFIH
14;FII;pFII
17;FIJ;pFIJ
18;FJA;pFJA
4;FJB;pFJB
3;FJC;pFJC
5;FJD;pFJD
4;FJE;pFJE
14;FJF;pFJF
1;FJG;pFJG
3;FJH;pFJH
17;FJI;pFJI
14;FJJ;pFJJ
16;GAA;pGAA
1;GAB;pGAB
7;GAC;pGAC
19;GAD;pGAD
0;GAE;pGAE
15;GAF;pGAF
1;GAG;pGAG
13;GAH;pGAH
14;GAI;pGAI
18;GAJ;pGAJ
10;GBA;pGBA
3;GBB;pGBB
19;GBC;pGBC
16;GBD;pGBD
2;GBE;pGBE
12;GBF;pGBF
10;GBG;pGBG
17;GBH;pGBH
14;GBI;pGBI
12;GBJ;pGBJ
8;GCA;pGCA
14;GCB;pGCB
16;GCC;pGCC
15;GCD;pGCD
9;GCE;pGCE
0;GCF;pGCF
19;GCG;pGCG
6;GCH;pGCH
6;GCI;pGCI
19;GCJ;pGCJ
8;GDA;pGDA
7;GDB;pGDB
3;GDC;pGDC
16;GDD;pGDD
10;GDE;pGDE
18;GDF;pGDF
14;GDG;pGDG
12;GDH;pGDH
8;GDI;pGDI
7;GDJ;pGDJ
11;GEA;pGEA
5;GEB;pGEB
8;GEC;pGEC
6;GED;pGED
12;GEE;pGEE
10;GEF;pGEF
6;GEG;pGEG
13;GEH;pGEH
0;GEI;pGEI
18;GEJ;pGEJ
9;GFA;pGFA
17;GFB;pGFB
16;GFC;pGFC
17;GFD;pGFD
1;GFE;pGFE
3;GFF;pGFF
7;GFG;pGFG
10;GFH;pGFH
2;GFI;pGFI
7;GFJ;pGFJ
3;GGA;pGGA
16;GGB;pGGB
12;GGC;pGGC
10;GGD;pGGD
2;GGE;pGGE
8;GGF;pGGF
12;GGG;pGGG
13;GGH;pGGH
18;GGI;pGGI
14;GGJ;pGGJ
17;GHA;pGHA
10;GHB;pGHB
19;GHC;pGHC
0;GHD;pGHD
18;GHE;pGHE
3;GHF;pGHF
10;GHG;pGHG
19;GHH;pGHH
3;GHI;pGHI
4;GHJ;pGHJ
3;GIA;pGIA
15;GIB;pGIB
18;GIC;pGIC
8;GID;pGID
6;GIE;pGIE
13;GIF;pGIF
13;GIG;pGIG
11;GIH;pGIH
15;GII;pGII
19;GIJ;pGIJ
9;GJA;pGJA
18;GJB;pGJB
8;GJC;pGJC
0;GJD;pGJD
9;GJE;pGJE
15;GJF;pGJF
19;GJG;pGJG
0;GJH;pGJH
10;GJI;pGJI
3;GJJ;pGJJ
8;HAA;pHAA
6;HAB;pHAB
13;HAC;pHAC
9;HAD;pHAD
6;HAE;pHAE
9;HAF;pHAF
16;HAG;pHAG
5;HAH;pHAH
4;HAI;pHAI
0;HAJ;pHAJ
17;HBA;pHBA
13;HBB;pHBB
15;HBC;pHBC
1;HBD;pHBD
17;HBE;pHBE
11;HBF;pHBF
7;HBG;pHBG
7;HBH;pHBH
15;HBI;pHBI
19;HBJ;pHBJ
3;HCA;pHCA
2;HCB;pHCB
19;HCC;pHCC
18;HCD;pHCD
1;HCE;pHCE
7;HCF;pHCF
10;HCG;pHCG
19;HCH;pHCH
1;HCI;pHCI
14;HCJ;pHCJ
3;HDA;pHDA
4;HDB;pHDB
4;HDC;pHDC
16;HDD;pHDD
3;HDE;pHDE
9;HDF;pHDF
8;HDG;pHDG
8;HDH;pHDH
5;HDI;pHDI
9;HDJ;pHDJ
10;HEA;pHEA
8;HEB;pHEB
19;HEC;pHEC
17;HED;pHED
5;HEE;pHEE
4;HEF;pHEF
17;HEG;pHEG
17;HEH;pHEH
9;HEI;pHEI
15;HEJ;pHEJ
12;HFA;pHFA
0;HFB;pHFB
18;HFC;pHFC
4;HFD;pHFD
9;HFE;pHFE
15;HFF;pHFF
9;HFG;pHFG
7;HFH;pHFH
7;HFI;pHFI
1;HFJ;pHFJ
16;HGA;pHGA
0;HGB;pHGB
1;HGC;pHGC
1;HGD;pHGD
14;HGE;pHGE
4;HGF;pHGF
8;HGG;pHGG
0;HGH;pHGH
9;HGI;pHGI
19;HGJ;pHGJ
1;HHA;pHHA
18;HHB;pHHB
8;HHC;pHHC
5;HHD;pHHD
18;HHE;pHHE
15;HHF;pHHF
11;HHG;pHHG
3;HHH;pHHH
3;HHI;pHHI
2;HHJ;pHHJ
17;HIA;pHIA
13;HIB;pHIB
7;HIC;pHIC
8;HID;pHID
4;HIE;pHIE
9;HIF;pHIF
18;HIG;pHIG
2;HIH;pHIH
15;HII;pHII
7;HIJ;pHIJ
1;HJA;pHJA
13;HJB;pHJB
7;HJC;pHJC
15;HJD;pHJD
12;HJE;pHJE
9;HJF;pHJF
18;HJG;pHJG
6;HJH;pHJH
0;HJI;pHJI
13;HJJ;pHJJ
10;IAA;pIAA
16;IAB;pIAB
1;IAC;pIAC
0;IAD;pIAD
6;IAE;pIAE
5;IAF;pIAF
5;IAG;pIAG
11;IAH;pIAH
14;IAI;pIAI
0;IAJ;pIAJ
2;IBA;pIBA
7;IBB;pIBB
15;IBC;pIBC
16;IBD;pIBD
17;IBE;pIBE
2;IBF;pIBF
13;IBG;pIBG
13;IBH;pIBH
19;IBI;pIBI
13;IBJ;pIBJ
0;ICA;pICA
2;ICB;pICB
12;ICC;pICC
11;ICD;pICD
4;ICE;pICE
11;ICF;pICF
17;ICG;pICG
9;ICH;pICH
1;ICI;pICI
17;ICJ;pICJ
10;IDA;pIDA
1;IDB;pIDB
13;IDC;pIDC
9;IDD;pIDD
13;IDE;pIDE
3;IDF;pIDF
12;IDG;pIDG
5;IDH;pIDH
17;IDI;pIDI
6;IDJ;pIDJ
11;IEA;pIEA
17;IEB;pIEB
7;IEC;pIEC
3;IED;pIED
0;IEE;pIEE
6;IEF;pIEF
1;IEG;pIEG
15;IEH;pIEH
8;IEI;pIEI
16;IEJ;pIEJ
0;IFA;pIFA
6;IFB;pIFB
17;IFC;pIFC
1;IFD;pIFD
15;IFE;pIFE
4;IFF;pIFF
14;IFG;pIFG
19;IFH;pIFH
8;IFI;pIFI
15;IFJ;pIFJ
9;IGA;pIGA
15;IGB;pIGB
10;IGC;pIGC
2;IGD;pIGD
8;IGE;pIGE
16;IGF;pIGF
0;IGG;pIGG
0;IGH;pIGH
14;IGI;pIGI
9;IGJ;pIGJ
14;IHA;pIHA
15;IHB;pIHB
12;IHC;pIHC
3;IHD;pIHD
5;IHE;pIHE
6;IHF;pIHF
6;IHG;pIHG
13;IHH;pIHH
12;IHI;pIHI
17;IHJ;pIHJ
19;IIA;pIIA
5;IIB;pIIB
12;IIC;pIIC
13;IID;pIID
14;IIE;pIIE
16;IIF;pIIF
11;IIG;pIIG
11;IIH;pIIH
9;III;pIII
13;IIJ;pIIJ
8;IJA;pIJA
9;IJB;pIJB
12;IJC;pIJC
10;IJD;pIJD
14;IJE;pIJE
19;IJF;pIJF
9;IJG;pIJG
6;IJH;pIJH
15;IJI;pIJI
14;IJJ;pIJJ
9;JAA;pJAA
9;JAB;pJAB
11;JAC;pJAC
10;JAD;pJAD
7;JAE;pJAE
10;JAF;pJAF
17;JAG;pJAG
13;JAH;pJAH
7;JAI;pJAI
10;JAJ;pJAJ
9;JBA;pJBA
7;JBB;pJBB
14;JBC;pJBC
6;JBD;pJBD
19;JBE;pJBE
17;JBF;pJBF
15;JBG;pJBG
11;JBH;pJBH
3;JBI;pJBI
5;JBJ;pJBJ
9;JCA;pJCA
11;JCB;pJCB
6;JCC;pJCC
11;JCD;pJCD
4;JCE;pJCE
3;JCF;pJCF
15;JCG;pJCG
